player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,小铃,花帆,慈,姬芽,吟子,瑠璃乃,缀理,梢
ME00V6X4B,オラトニス,BKLW6CR5L,Mix鮭の空!!,15,203,11027367571736970,10,10,10,10,10,10,10,10,10
T95Y9M2F4,君・街・空・星,11FB0EDDT,スクステ同好会,13,204,11012484523212950,10,10,10,10,10,10,10,10,10
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,205,11004813957166180,10,10,10,10,10,10,10,10,10
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,206,10986082980466900,10,10,10,10,10,10,10,10,10
XKLJ2EBER,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,207,10981055964050820,10,10,10,10,10,10,10,10,10
7JNX2DBCM,おぎくぼ,11FB0EDDT,スクステ同好会,11,208,10979178331784820,10,10,10,10,10,10,10,10,10
9XVH451HH,はーとりっと,3BDTCERX6,打ち返した流れ星,1,209,10975328253070050,10,10,10,10,10,10,10,10,10
W0WYHMBR4,リョータ,3BDTCERX6,打ち返した流れ星,13,210,10970492615358890,10,10,10,10,10,10,10,10,10
TRLEB6AD0,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,211,10963281562176350,10,10,10,10,10,10,10,10,10
7RKDSBKXW,あらさん,11FB0EDDT,スクステ同好会,12,212,10961980702776900,10,10,10,10,10,10,10,10,10
1VM9SAJVY,ユデジロウ,FVJFA973A,蓮ノ空愛好会,11,213,10960724539769690,10,10,10,10,10,10,10,10,10
