player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,さやか,慈,小铃,姬芽,梢,缀理,花帆
YHD181KD3,AN@,FVJFA973A,蓮ノ空愛好会,14,169,1821640864092402,10,10,10,10,10,10,10,10,10
ME00V6X4B,オラトニス,BKLW6CR5L,Mix鮭の空!!,15,170,1819757629608661,10,10,10,10,10,10,10,10,10
8XGER9Q5Y,ひろ,11XTEEEJT,リンクラ料理部,15,171,1819654119793931,10,10,10,10,10,10,10,10,10
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,172,1817995829154876,10,10,10,10,10,10,10,10,10
E60YJ59TP,ロレ,VW65MCVF8,スリスリーズ,13,173,1816667795801075,10,10,10,10,10,10,10,10,10
OC4GF3LF1,ゆとり,M5LHG6R4T,乙宗動物園,12,174,1815555703045162,10,10,10,10,10,10,10,10,10
XH8YBK7X1,アイマスP,25PMPEMG7,星見プロ,11,175,1815363829321478,10,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,176,1812715287810936,10,10,10,10,10,10,10,10,10
ALF76WC94,あかつき,RWARTHA1M,乙宗梢大好き部,15,177,1810917392648944,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,178,1809991255516912,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,179,1809127775351988,10,10,10,10,10,10,10,10,10
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,180,1805312545207155,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,15,181,1804223491855528,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,7,182,1803764871336237,10,10,10,10,10,10,10,10,10
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,183,1799355292946472,10,10,10,10,10,10,10,10,10
9XVH451HH,はーとりっと,3BDTCERX6,打ち返した流れ星,1,184,1798673052231734,10,10,10,10,10,10,10,10,10
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,185,1797969479881932,10,10,10,10,10,10,10,10,10
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,186,1793954234751569,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,187,1793461842731391,10,10,10,10,10,10,10,10,10
BTPB6DXYH,みやび,CX967RTGY,おんゆあさーくる,0,188,1790128100328924,10,10,10,10,10,10,10,10,10
ZYR6MKI25,Ringo,L15B25270,蓮女マネージャー,11,189,1789527674273760,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,190,1789525018453198,10,10,10,10,10,10,10,10,10
5LL48ARPU,シュウ,BKLW6CR5L,Mix鮭の空!!,15,191,1789442830801786,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,192,1788769323856038,10,10,10,10,10,10,10,10,10
OS5RF4SH8,ふら,GXR6C85BT,花帆ちゃん親衛隊,11,193,1788573451018822,10,10,10,10,10,10,10,10,10
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,15,194,1787561185029916,10,10,10,10,10,10,10,10,10
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,4,195,1786192494986333,10,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,196,1780097627412053,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,197,1779252992101503,10,10,10,10,10,10,10,10,10
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,198,1778078647098409,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,199,1776379203918880,10,10,10,10,10,10,10,10,10
74NVPKIGI,"なめろうoNM,",73CBYJYB0,"oNM,",15,200,1772452895370507,10,10,10,10,10,10,10,10,10
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,201,1771629825455071,10,10,10,10,10,10,10,10,10
ABXP5M67E,えいと,M5LHG6R4T,乙宗動物園,15,202,1771074853648475,10,10,10,10,10,10,10,10,10
5388KLM1M,ゲソ,25PMPEMG7,星見プロ,3,203,1765518542107866,10,10,10,10,10,10,10,10,10
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,204,1765241502276087,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,205,1764877981797440,10,10,10,10,10,10,10,10,10
4YTEQDE04,まんまる,1BME38BCD,さすさやクラブ,15,206,1764671671654882,10,10,10,10,10,10,10,10,10
10NAV71GP,あばば,NC2YT2V28,蓮之愛同予者何人,4,207,1759623645130984,10,10,10,10,10,10,10,10,10
