player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
FSHR5FP4W,Kian,KT4C59NXG,めぐ島（仮）,15,101,14747000,10,10,10,10,10,10,10,10,80,60
4YTEQDE04,まんまる,B2KV0EVPD,蓮ちゅきクラブ,15,102,14731000,10,10,10,10,10,10,10,10,80,60
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,13,103,14728000,10,10,10,10,10,10,10,10,80,60
5UT1FEC2R,みけ,N1DJVPGP8,いつでも咲けるよ,4,104,14708000,10,8,10,10,9,10,10,10,77,57
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,105,14681000,10,10,10,10,10,10,9,9,78,60
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,106,14674000,10,9,10,9,9,9,9,10,75,56
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,107,14628000,10,10,10,10,10,10,10,10,80,60
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,108,14619000,10,9,10,9,9,9,9,10,75,56
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,109,14613000,10,10,10,10,10,10,10,10,80,60
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,110,14577000,10,10,10,10,10,10,10,10,80,60
KWNXKNY6X,ぷいにゅー,49AMYCXCD,ルドベキア,15,111,14569000,10,10,10,10,9,9,9,9,76,58
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,112,14568000,10,9,10,9,8,8,8,10,72,54
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,113,14556000,10,10,10,10,10,10,7,8,75,60
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,114,14550000,10,9,10,10,9,10,10,9,77,58
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,115,14521000,10,9,10,9,9,10,10,10,77,57
M13CTUF6N,ニール,49AMYCXCD,ルドベキア,15,116,14520000,10,10,10,10,10,10,10,10,80,60
GVNJDLBW8,皇帝ペンギン1号,LHXNEF3D5,まるまるサークル,11,117,14516000,10,7,10,7,7,8,10,10,69,49
IN27C39RY,スス,9YM3DBTB7,泥民館,15,118,14501000,10,10,10,10,10,10,10,10,80,60
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,119,14495000,10,10,10,10,10,10,10,10,80,60
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,120,14482000,10,10,10,10,10,10,8,8,76,60
V45G4Y8ER,ニッケル,GXR6C85BT,花帆ちゃん親衛隊,15,121,14469000,10,10,10,9,10,10,9,9,77,59
74NVPKIGI,"なめろうoNM,",73CBYJYB0,"oNM,",15,122,14458000,10,8,10,8,8,8,10,10,72,52
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,123,14452000,10,10,10,10,10,10,10,10,80,60
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,13,124,14445000,10,9,10,10,10,10,10,10,79,59
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,125,14442000,10,8,10,8,10,8,7,8,69,54
