player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
MGAE65EWP,sera,NTMHE54LG,月下ノ宵闇,0,15901,3085435,46618085.0,13465.0,67315091.0,13437.0,,,1,1,1,1,1,1,1,1
T8A85BFJX,ガスタ,,,0,15902,3085180,8081648.0,13966.0,138904168.0,12987.0,,,1,5,1,1,1,1,1,4
09H0N26FN,ひこ,9E910GGD2,蓮ノ空給湯室,0,15903,3084580,43872665.0,13531.0,46177167.0,13542.0,,,1,1,5,5,1,1,1,1
EJHCVCM0V,こかすけ,,,0,15904,3084575,3225656.0,14035.0,,,,,2,1,2,2,2,1,2,2
QTW7Y2ZR9,梨子真姫連弾和尚,9759UAJ1R,絆☆家族,0,15905,3084160,25915120.0,13773.0,76326174.0,13384.0,,,1,4,2,4,2,1,4,4
T553TCET7,小泉進次郎,2B97MH4YA,同じ話し何回も…,0,15905,3084160,30255126.0,13721.0,67455877.0,13436.0,,,1,1,2,9,1,1,2,1
4B3TV6VLV,はな,KARUFA7TN,777,0,15907,3084155,36584238.0,13642.0,52585834.0,13516.0,,,1,1,1,1,1,1,2,1
AX6K4HTKH,なっち,,,0,15908,3083945,,,1309925.0,13771.0,2461933.0,13412.0,1,1,2,3,3,2,1,2
9EQ8YNBKX,JADE,FR5PDRB5Y,株式会社つづさや,0,15909,3083835,22139092.0,13825.0,74036608.0,13397.0,,,1,2,1,1,1,2,1,5
G7JHUR2BD,tuki,A86FEX2JC,おやさいさん,0,15910,3083800,34117814.0,13678.0,44405028.0,13551.0,,,1,5,4,1,1,1,1,5
VD1B8VWWL,あずねろ,1AXNRVY5J,ガンバ大阪蓮ノ空,0,15911,3083775,30836308.0,13714.0,,,23973.0,13505.0,1,2,1,1,1,1,1,1
FJTR1HJFF,まか,1D7T2UXC2,無言でのんびり,0,15912,3083575,29292398.0,13734.0,46750858.0,13540.0,,,1,1,1,1,1,1,1,1
E8VYSA7D8,ごごちゃん,,,0,15913,3083305,29378286.0,13733.0,36587976.0,13595.0,,,1,1,2,2,7,5,1,1
EVTDMMHT6,眠り,WPG6BCG83,基本無言,0,15914,3083085,28952560.0,13739.0,28114297.0,13633.0,,,1,4,1,1,1,2,1,4
033AGK92P,Q,,,0,15915,3082725,15647792.0,13891.0,44219858.0,13553.0,,,1,1,1,1,1,2,1,1
9AJJGCTPW,りんね,,,0,15916,3082570,54520.0,14097.0,,,7100408.0,13362.0,1,3,4,3,2,1,2,3
F6AXRUUC9,まっちょ,,,0,15917,3082520,22444783.0,13820.0,21318540.0,13665.0,,,1,1,4,1,1,3,1,1
BDMRFDU90,ㄇ,7D5TKBG45,リ!リ!リ！,0,15918,3082505,4176039.0,14019.0,,,254308.0,13453.0,1,1,2,1,1,1,1,1
EJ50EM9ZY,A印,,,0,15919,3082225,6934146.0,13976.0,41998361.0,13568.0,,,1,1,1,1,1,1,1,1
ONADZDDZG,ゆうひ,0AYJF4RJ6,無言,1,15920,3082115,0.0,14259.0,,,,,1,1,1,1,1,2,1,1
HUNJWM9K6,赤猫,XTMGPY62U,スクステ初心者,0,15921,3082110,6079617.0,13990.0,40108844.0,13577.0,,,4,4,1,1,4,2,1,1
I169XPLLT,れゐな,5YEE75CB4,ロビーで待ってる,0,15922,3081920,7053473.0,13975.0,28847657.0,13630.0,,,1,1,1,1,1,1,1,1
3LKKEA8DA,さやまさ,,,0,15923,3081840,9311428.0,13951.0,20022528.0,13670.0,,,1,4,1,1,1,1,1,4
AY3B01NLC,KWANON,9759UAJ1R,絆☆家族,0,15924,3081835,6902971.0,13977.0,25400044.0,13645.0,,,1,4,1,4,1,1,4,4
DHC72RF75,Jami,,,0,15925,3081330,4752499.0,14009.0,11411081.0,13714.0,,,5,1,1,2,1,1,2,1
